customer_id,date,tasks_solved,label_1,rating
1,2025-04-29 00:00:00,0,grammar,1507
1,2025-04-29 00:00:25,1,grammar,1668
1,2025-04-29 00:00:50,0,grammar,1667
1,2025-04-29 00:01:15,0,vocab,1432
1,2025-04-29 00:01:40,1,vocab,1463
1,2025-04-29 00:02:05,0,grammar,1411
1,2025-04-29 00:02:30,0,vocab,1438
1,2025-04-29 00:02:55,0,vocab,1428
1,2025-04-29 00:03:20,0,grammar,1608
1,2025-04-29 00:03:45,1,grammar,1681
1,2025-04-29 00:04:10,0,grammar,1565
1,2025-04-29 00:04:35,1,vocab,1653
1,2025-04-29 00:05:00,1,vocab,1449
1,2025-04-29 00:05:25,1,vocab,1451
1,2025-04-29 00:05:50,1,vocab,1667
1,2025-04-29 00:06:15,1,vocab,1559
1,2025-04-29 00:06:40,0,vocab,1668
1,2025-04-29 00:07:05,1,vocab,1440
1,2025-04-29 00:07:30,1,vocab,1697
1,2025-04-29 00:07:55,1,vocab,1454
1,2025-04-29 00:08:20,0,vocab,1471
1,2025-04-29 00:08:45,1,vocab,1517
1,2025-04-29 00:09:10,1,grammar,1459
1,2025-04-29 00:09:35,1,grammar,1446
1,2025-04-29 00:10:00,0,vocab,1673
1,2025-04-29 00:10:25,1,grammar,1585
1,2025-04-29 00:10:50,1,grammar,1435
1,2025-04-29 00:11:15,0,vocab,1462
1,2025-04-29 00:11:40,1,vocab,1545
1,2025-04-29 00:12:05,0,vocab,1409
1,2025-04-29 00:12:30,0,vocab,1569
1,2025-04-29 00:12:55,1,vocab,1433
1,2025-04-29 00:13:20,1,vocab,1481
1,2025-04-29 00:13:45,1,grammar,1669
1,2025-04-29 00:14:10,0,vocab,1598
1,2025-04-29 00:14:35,1,grammar,1448
1,2025-04-29 00:15:00,0,vocab,1550
1,2025-04-29 00:15:25,0,vocab,1449
1,2025-04-29 00:15:50,0,grammar,1660
1,2025-04-29 00:16:15,1,vocab,1539
1,2025-04-29 00:16:40,1,grammar,1495
1,2025-04-29 00:17:05,0,grammar,1645
1,2025-04-29 00:17:30,0,grammar,1662
1,2025-04-29 00:17:55,1,vocab,1416
1,2025-04-29 00:18:20,1,vocab,1644
1,2025-04-29 00:18:45,1,vocab,1670
1,2025-04-29 00:19:10,1,grammar,1454
1,2025-04-29 00:19:35,0,grammar,1579
1,2025-04-29 00:20:00,1,vocab,1568
1,2025-04-29 00:20:25,1,vocab,1425
